"genes","logFC","logCPM","LR","PValue","FDR"
"ENSDARG00000006598",0.932740276635141,3.47899342818552,23.5286927491604,1.230647352333e-06,0.000192443230115799
"ENSDARG00000096046",0.757076479640339,3.3574487036136,23.3638473098931,1.34074837550655e-06,0.000208642576085503
"ENSDARG00000101043",-0.5095705699538,8.37536295089376,23.3485574375336,1.35144825928312e-06,0.000209291675593425
"ENSDARG00000088641",2.86861834339816,2.83793031956336,23.3194629952062,1.37204571847496e-06,0.00021112720628706
"ENSDARG00000027744",0.632636473036503,4.83839916313697,23.3132669503082,1.3764727240227e-06,0.00021112720628706
"ENSDARG00000068869",2.36230324865127,-1.59425325722295,23.2314644718515,1.43628072654494e-06,0.000219251672623101
"ENSDARG00000101407",-0.965768066244333,2.11181519890998,23.1938606308089,1.46464170112572e-06,0.000222521417123163
"ENSDARG00000026049",2.90746002704786,-1.1838007103988,23.0559820101362,1.57352165300797e-06,0.00023793577184187
"ENSDARG00000101990",1.07670867947549,3.70129014134768,23.0073468828526,1.61383480552907e-06,0.000242885926576739
"ENSDARG00000045153",0.649634686326059,3.35891787365311,22.9895310233591,1.62886005423604e-06,0.000244001713825443
"ENSDARG00000096508",0.577683900670154,6.66493368589242,22.964190448243,1.65047342217767e-06,0.000246089425556974
"ENSDARG00000012881",0.60367327451073,5.4436712280471,22.8102553218678,1.78809011607125e-06,0.000265374096531926
"ENSDARG00000101749",0.646530158438582,4.4142797422676,22.757669227815,1.83769283556781e-06,0.000271478890459896
"ENSDARG00000008403",-0.839957373135542,3.20258339689652,22.4927748827792,2.1093549564345e-06,0.00031018161393771
"ENSDARG00000089383",1.46794198465182,-0.0761309406046674,22.4785208367142,2.12506582277484e-06,0.000311065000368462
"ENSDARG00000018361",0.612026735724155,4.16028889844853,22.3718483706475,2.24642812249874e-06,0.000327335210558828
"ENSDARG00000005271",1.21315657065957,0.503773532059531,22.3549776179622,2.26624902673345e-06,0.000328729163122146
"ENSDARG00000098761",1.57925567987019,2.11042561012269,22.1982854212394,2.45893287524058e-06,0.000355072122439582
"ENSDARG00000101906",-0.994841089890499,1.25961261519346,22.0538466150716,2.65107878765052e-06,0.000380784705294616
"ENSDARG00000052115",1.5751231068484,1.29351828708894,22.0468545261718,2.66075346994398e-06,0.000380784705294616
"ENSDARG00000007693",0.634148016284414,5.87894689573417,21.9987602253615,2.72826640057881e-06,0.000388711271126022
"ENSDARG00000012903",0.569869037424675,5.5017499832707,21.9376100545882,2.81659440522088e-06,0.000399520207292769
"ENSDARG00000105424",0.785287734921098,3.54574841730424,21.9174178760815,2.84638652533997e-06,0.000401967457457371
